port_name,country_iso,port_rank,lat,lon,fetched_at,temp_c,feels_like_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,wind_deg,visibility_m,weather_main,weather_desc,cloudiness_pct,rain_1h_mm,snow_1h_mm,sunrise_utc,sunset_utc,beaufort_number,beaufort_desc,port_risk_flag,low_visibility,fetch_date,fetch_year,fetch_month,source,data_type,granularity
Shanghai,CN,1,31.2304,121.4737,2026-04-03 22:29,15.95,15.74,82,1007,3.0,3.0,320,5000,Mist,mist,75,0.0,0,21:39,10:14,2,Light breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Singapore,SG,2,1.2966,103.8006,2026-04-03 22:29,26.8,29.81,86,1008,1.03,1.03,0,9000,Clouds,broken clouds,75,0.0,0,23:03,11:11,1,Light air,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Ningbo-Zhoushan,CN,3,29.8683,121.544,2026-04-03 22:29,17.18,16.86,73,1008,7.6,0.0,251,10000,Clouds,few clouds,20,0.0,0,21:40,10:13,4,Moderate breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Shenzhen,CN,4,22.5431,114.0579,2026-04-03 22:29,25.43,26.38,90,1007,0.45,0.89,159,10000,Clouds,broken clouds,70,0.0,0,22:13,10:39,1,Light air,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Guangzhou,CN,5,23.1291,113.2644,2026-04-03 22:29,20.92,21.16,80,1007,1.99,2.36,60,10000,Clouds,overcast clouds,100,0.0,0,22:16,10:43,2,Light breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Busan,KR,6,35.1796,129.0756,2026-04-03 22:29,13.91,13.65,88,996,6.17,6.17,120,3200,Rain,moderate rain,100,2.73,0,21:06,09:46,4,Moderate breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Tianjin,CN,7,39.3434,117.3616,2026-04-03 22:29,5.0,2.68,52,1011,2.77,4.05,129,10000,Clear,clear sky,0,0.0,0,21:50,10:36,2,Light breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Hong Kong,HK,8,22.3193,114.1694,2026-04-03 22:29,25.57,26.35,83,1007,3.58,3.58,210,10000,Clouds,broken clouds,71,0.0,0,22:13,10:39,3,Gentle breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Rotterdam,NL,9,51.9225,4.4792,2026-04-03 22:29,11.23,10.81,92,1012,9.77,9.77,240,9000,Clouds,overcast clouds,100,0.0,0,05:10,18:19,5,Fresh breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Dubai (Jebel Ali),AE,10,24.9965,55.0272,2026-04-03 22:29,22.25,22.46,74,1010,2.6,3.49,250,10000,Clouds,overcast clouds,85,0.0,0,02:08,14:36,2,Light breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Port Klang,MY,11,3.0,101.4,2026-04-03 22:29,27.11,30.29,83,1008,1.58,1.13,64,10000,Clouds,overcast clouds,94,0.0,0,23:12,11:21,1,Light air,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Antwerp,BE,12,51.2194,4.4025,2026-04-03 22:29,12.12,11.82,93,1014,6.17,6.17,240,10000,Drizzle,light intensity drizzle,100,0.0,0,05:11,18:18,4,Moderate breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Xiamen,CN,13,24.4798,118.0894,2026-04-03 22:29,20.05,20.57,94,1007,1.0,1.0,200,6000,Clouds,broken clouds,75,0.0,0,21:56,10:24,1,Light air,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Los Angeles,US,14,33.729,-118.262,2026-04-03 22:29,23.71,23.86,66,1015,8.23,8.23,270,10000,Clouds,broken clouds,75,0.0,0,13:37,02:14,5,Fresh breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Hamburg,DE,15,53.5753,10.0153,2026-04-03 22:29,9.98,6.72,72,1007,7.72,7.72,210,10000,Clouds,overcast clouds,100,0.0,0,04:46,17:59,4,Moderate breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Long Beach,US,16,33.7548,-118.2164,2026-04-03 22:29,25.7,25.61,49,1015,8.23,8.23,270,10000,Clear,clear sky,0,0.0,0,13:37,02:14,5,Fresh breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Tanjung Pelepas,MY,17,1.3634,103.5521,2026-04-03 22:29,26.02,26.02,88,1008,3.12,4.23,32,10000,Clouds,broken clouds,51,0.0,0,23:04,11:12,2,Light breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Kaohsiung,TW,18,22.6273,120.3014,2026-04-03 22:29,25.95,25.95,73,1009,0.51,0.51,0,8000,Clouds,broken clouds,75,0.0,0,21:48,10:14,1,Light air,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
Dalian,CN,19,38.914,121.6147,2026-04-03 22:29,3.94,-0.45,75,1007,6.0,12.0,340,10000,Clouds,few clouds,20,0.0,0,21:34,10:18,4,Moderate breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
New York/NJ,US,20,40.6943,-74.1239,2026-04-03 22:29,18.59,18.41,73,1020,6.17,11.83,220,10000,Clouds,broken clouds,75,0.0,0,10:36,23:22,4,Moderate breeze,False,False,2026-04-03,2026,4,openweathermap,port_weather,daily
